,id,taskId,task,unitId,unit,unitPlural,ratio,action,elementId,stage,stageId,cssElementId,cssElement,type,otherStage,displayName,roomArea,tradeId,quantity,hour,Hourly Labour Cost (£),Labour Cost (£/unit),Labour Total Cost,Material Total Cost,Material Markup,Labour Profit,Material Contingency,Subtotal,Overall Contingency,Total Task Cost
164,165,8163,Mist coat and two coats of paint to ceiling and cornice,4,m2,m2,1.0,,1677,Decoration,486,14.0,E2 - Ceilings,COMMON,1,Supply & Install Mist coat and two coats of paint to ceiling and cornice,"[""ceiling""]",158.0,0.65,0.65,23.125,15.03125,9.770312500000001,0,0,2.93109375,0,12.70140625,0.6350703125000001,13.3364765625
165,166,8164,Mist coat and two coats of paint to walls,4,m2,m2,1.0,,1678,Decoration,486,15.0,E3 - Walls and Partitions,COMMON,1,Supply & Install Mist coat and two coats of paint to walls,"[""wall""]",158.0,0.61,0.61,23.125,14.10625,8.6048125,0,0,2.58144375,0,11.18625625,0.5593128125,11.7455690625
166,167,8166,Oil combi boiler,1,nr,nr,1.0,,1692,Heating and cooling,490,25.0,F4 - Heating,COMMON,1,Supply & Install Oil combi boiler,[],159.0,18.0,18.0,42.0,756.0,13608.0,0,0,4082.4,0,17690.4,884.5200000000001,18574.92
167,168,8167,One and a half brick wide brick wall,4,m2,m2,1.0,,1707,External wall structure and lining,489,15.0,E3 - Walls and Partitions,COMMON,1,Supply & Install One and a half brick wide brick wall,"[""wall""]",,,,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
168,169,8168,One brick wide brick wall (215mm wide),4,m2,m2,1.0,,1707,External wall structure and lining,489,15.0,E3 - Walls and Partitions,COMMON,1,Supply & Install One brick wide brick wall (215mm wide),"[""wall""]",,,,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
169,170,8170,Parquet to floor,4,m2,m2,1.0,Materials for Parquet to floor,1680,Floor preparation and finishes,470,16.0,E4 - Floors,COMMON,1,Parquet to floor,"[""floor""]",152.0,2.5,2.5,26.25,65.625,164.0625,0,0,49.21875,0,213.28125,10.6640625,223.9453125
170,171,8171,PIR insulation board - between joists,4,m2,m2,1.0,,1687,Floor structure and lining,467,16.0,E4 - Floors,COMMON,1,Supply & Install PIR insulation board - between joists,[],149.0,0.45,0.45,23.125,10.40625,4.6828125,0,0,1.40484375,0,6.08765625,0.3043828125,6.3920390625
171,172,8174,Plumbed towel rail,1,nr,nr,1.0,,1949,Heating and cooling,490,25.0,F4 - Heating,COMMON,1,Supply & Install Plumbed towel rail,[],150.0,4.0,4.0,26.25,105.0,420.0,0,0,126.0,0,546.0,27.3,573.3
172,173,8175,Polished concrete,4,m2,m2,1.0,Materials for Polished concrete,1680,Floor preparation and finishes,470,16.0,E4 - Floors,COMMON,1,Polished concrete,[],162.0,1.0,1.0,52.5,52.5,52.5,0,0,15.75,0,68.25,3.4125,71.6625
173,174,8176,Porcelain tiles to floor,4,m2,m2,1.0,,1680,Floor preparation and finishes,470,16.0,E4 - Floors,COMMON,1,Supply & Install Porcelain tiles to floor,"[""floor""]",157.0,1.7,1.7,23.125,39.3125,66.83125,0,0,20.049375,0,86.880625,4.34403125,91.22465625
174,175,8177,Porcelain tiles to walls,4,m2,m2,1.0,Materials for Porcelain tiles to walls,1708,Wall preparation and finishes,488,15.0,E3 - Walls and Partitions,COMMON,1,Porcelain tiles to walls,"[""wall""]",157.0,1.7,1.7,23.125,39.3125,66.83125,0,0,20.049375,0,86.880625,4.34403125,91.22465625
175,176,8179,Poured resin,4,m2,m2,1.0,,1680,Floor preparation and finishes,470,16.0,E4 - Floors,COMMON,1,Supply & Install Poured resin,[],162.0,0.8,0.8,52.5,42.0,33.6,0,0,10.08,0,43.68,2.184,45.864
176,177,8180,Single power socket,31,pt,pts,1.0,,1722,Wired appliances,479,22.0,F1 - Electricity,COMMON,1,Supply & Install Single power socket,[],,,,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
177,178,8181,"Primer, undercoat and gloss coat to skirting",2,m,m,1.0,,1666,Decoration,486,16.0,E4 - Floors,COMMON,1,"Supply & Install Primer, undercoat and gloss coat to skirting",[],158.0,0.51,0.51,23.125,11.79375,6.0148125,0,0,1.80444375,0,7.81925625,0.3909628125,8.2102190625
178,179,8182,Programmable thermostat ,1,nr,nr,1.0,Materials for Programmable thermostat ,1825,Heating and cooling,490,25.0,F4 - Heating,COMMON,1,Programmable thermostat ,[],,,,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
179,180,8183,Project manager on site,8,day,days,1.0,,1717,Preliminaries,471,12.0,D9 - Other,COMMON,1,Supply & Install Project manager on site,[],160.0,8.0,8.0,42.0,336.0,2688.0,0,0,806.4,0,3494.4,174.72,3669.12
180,181,8184,Relocate electical main,1,nr,nr,1.0,,1804,Wiring and fuseboards,477,,,COMMON,1,Supply & Install Relocate electical main,[],,,,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
181,182,8185,Relocate gas mains,35,item,items,1.0,,1821,Heating and cooling,490,25.0,F4 - Heating,COMMON,1,Supply & Install Relocate gas mains,[],159.0,37.0,37.0,42.0,1554.0,57498.0,0,0,17249.4,0,74747.4,3737.37,78484.76999999999
182,183,8186,Relocate water mains,1,nr,nr,1.0,,2104,Drainage and pipework,485,27.0,F6 - Drainage,COMMON,1,Supply & Install Relocate water mains,[],150.0,25.0,25.0,26.25,656.25,16406.25,0,0,4921.875,0,21328.125,1066.40625,22394.53125
183,184,8187,Strip out boiler,1,nr,nr,1.0,,1966,Demolitions,482,21.0,E9 - Other,COMMON,1,Strip out boiler,[],150.0,3.0,3.0,26.25,78.75,236.25,0,0,70.875,0,307.125,15.35625,322.48125
184,185,8188,Strip out electrical point,1,nr,nr,1.0,,1682,Demolitions,482,21.0,E9 - Other,COMMON,1,Strip out electrical point,[],,,,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
185,186,8189,Strip out hot water cylinder,1,nr,nr,1.0,,1682,Demolitions,482,21.0,E9 - Other,COMMON,1,Strip out hot water cylinder,[],150.0,2.0,2.0,26.25,52.5,105.0,0,0,31.5,0,136.5,6.825,143.325
